Team,Nationality,Position,Age,Potential,Name
Paris Saint-Germain ,France,Delantero Centro | Extremo Derecho | Extremo Izquierdo,21,Sobresaliente,Kylian Mbappé
FC Barcelona ,Argentina,Delantero Centro | Mediapunta | Extremo Derecho,33,Sobresaliente,Lionel Messi
Borussia Dortmund ,England,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Ofensivo,20,Sobresaliente,Jadon Sancho
Juventus ,Portugal,Delantero Centro | Extremo Izquierdo,35,Sobresaliente,Cristiano Ronaldo
Atlético Madrid ,Slovenia,Arquero,27,Sobresaliente,Jan Oblak
FC Barcelona ,Germany,Arquero,28,Sobresaliente,Marc-André ter Stegen
Bayer 04 Leverkusen ,Germany,Mediocampista Derecho | Mediocampista Ofensivo,21,Sobresaliente,Kai Havertz
Atlético Madrid ,Portugal,Delantero Centro | Mediocampista Izquierdo | Mediapunta,20,Sobresaliente,João Félix
Paris Saint-Germain ,Brazil,Mediocampista Ofensivo | Extremo Izquierdo,28,Sobresaliente,Neymar Jr
Liverpool ,Netherlands,Defensor Central,29,Sobresaliente,Virgil van Dijk
FC Barcelona ,Netherlands,Mediocampista,23,Sobresaliente,Frenkie de Jong
Juventus ,Netherlands,Defensor Central,20,Sobresaliente,Matthijs de Ligt
Milan ,Italy,Arquero,21,Sobresaliente,Gianluigi Donnarumma
Real Madrid ,Brazil,Extremo Izquierdo,20,Sobresaliente,Vinícius Jr.
Manchester City ,Belgium,Mediocampista | Mediocampista Ofensivo,29,Sobresaliente,Kevin De Bruyne
FC Bayern München ,Poland,Delantero Centro,31,Sobresaliente,Robert Lewandowski
Real Madrid ,Belgium,Delantero Centro | Extremo Izquierdo,29,Sobresaliente,Eden Hazard
Liverpool ,Brazil,Arquero,27,Sobresaliente,Alisson
Tottenham Hotspur ,England,Delantero Centro,27,Sobresaliente,Harry Kane
Manchester City ,Brazil,Arquero,26,Sobresaliente,Ederson
Inter ,Argentina,Delantero Centro,22,Sobresaliente,Lautaro Martínez
Real Madrid ,Brazil,Extremo Derecho | Extremo Izquierdo,19,Sobresaliente,Rodrygo
Brescia ,Italy,Mediocampista Defensivo | Mediocampista,20,Sobresaliente,Sandro Tonali
Liverpool ,Egypt,Delantero Centro | Extremo Derecho,28,Sobresaliente,Mohamed Salah
