Top Genre,Artist Type,Year Released,Top Year,BPM,Artist
Alt Z,Solo,2021.0,2016.0,120.0,Astrid S
Art Pop,Solo,2021.0,2011.0,122.0,Lykke Li
Grime,Solo,2021.0,2011.0,101.0,Professor Green
Boy Band,Band/Group,2020.0,2019.0,176.0,5 Seconds of Summer
Dance Pop,Solo,2020.0,2019.0,102.0,Lauv
Afro Dancehall,Band/Group,2020.0,2019.0,102.0,NSG
Alt Z,Solo,2020.0,2016.0,113.0,Kiiara
Dance Pop,Solo,2020.0,2010.0,121.0,Sean Kingston
Australian Dance,Duo,2020.0,2010.0,125.0,Yolanda Be Cool
Grime,Solo,2019.0,2019.0,134.0,AJ Tracey
Latin,Solo,2019.0,2019.0,105.0,Anuel AA
Latin,Solo,2019.0,2019.0,92.0,Anuel AA
Dance Pop,Solo,2019.0,2019.0,140.0,Ariana Grande
Dance Pop,Solo,2019.0,2019.0,107.0,Ariana Grande
Dance Pop,Solo,2019.0,2019.0,170.0,Ariana Grande
Dance Pop,Solo,2019.0,2019.0,190.0,Ariana Grande
Pop,Solo,2019.0,2019.0,125.0,Ashley O
Latin,Solo,2019.0,2019.0,176.0,Bad Bunny
Art Pop,Solo,2019.0,2019.0,135.0,Billie Eilish
Art Pop,Solo,2019.0,2019.0,83.0,Billie Eilish
Art Pop,Solo,2019.0,2019.0,120.0,Billie Eilish
K-Pop,Band/Group,2019.0,2019.0,132.0,BLACKPINK
Black Americana,Solo,2019.0,2019.0,98.0,Blanco Brown
K-Pop,Band/Group,2019.0,2019.0,120.0,BTS
Dance Pop,Solo,2019.0,2019.0,134.0,Cardi B
North Carolina Hip Hop,Solo,2019.0,2019.0,75.0,DaBaby
Uk Hip Hop,Solo,2019.0,2019.0,110.0,Dave
Dance Pop,Solo,2019.0,2019.0,170.0,Doja Cat
Canadian Hip Hop,Solo,2019.0,2019.0,101.0,Drake
Dance Pop,Solo,2019.0,2019.0,124.0,Dua Lipa
Pop,Solo,2019.0,2019.0,138.0,Ed Sheeran
Pop,Solo,2019.0,2019.0,95.0,Ed Sheeran
Pop,Solo,2019.0,2019.0,152.0,Ed Sheeran
Melodic Rap,Solo,2019.0,2019.0,150.0,Flipp Dinero
Dark Clubbing,Solo,2019.0,2019.0,101.0,Gesaffelstein
Melodic Rap,Solo,2019.0,2019.0,81.0,iann dior
Melodic Rap,Solo,2019.0,2019.0,95.0,iann dior
Conscious Hip Hop,Solo,2019.0,2019.0,124.0,J. Cole
Dance Pop,Solo,2019.0,2019.0,122.0,Jax Jones
Dance Pop,Solo,2019.0,2019.0,125.0,Joel Corry
Boy Band,Band/Group,2019.0,2019.0,138.0,Jonas Brothers
Boy Band,Band/Group,2019.0,2019.0,94.0,Jonas Brothers
Chicago Rap,Solo,2019.0,2019.0,80.0,Juice WRLD
Black Americana,Solo,2019.0,2019.0,154.0,Kane Brown
Dance Pop,Solo,2019.0,2019.0,146.0,Kehlani
Pop,Solo,2019.0,2019.0,136.0,Khalid
Art Pop,Solo,2019.0,2019.0,145.0,Lana Del Rey
Pop,Solo,2019.0,2019.0,110.0,Lewis Capaldi
Pop,Solo,2019.0,2019.0,104.0,Lewis Capaldi
Lgbtq+ Hip Hop,Solo,2019.0,2019.0,136.0,Lil Nas X
Lgbtq+ Hip Hop,Solo,2019.0,2019.0,136.0,Lil Nas X
Lgbtq+ Hip Hop,Solo,2019.0,2019.0,154.0,Lil Nas X
Melodic Rap,Solo,2019.0,2019.0,180.0,Lil Tecca
Dance Pop,Solo,2019.0,2019.0,158.0,Lizzo
Dance Pop,Solo,2019.0,2019.0,96.0,Lizzo
Latin,Solo,2019.0,2019.0,92.0,Lunay
Indie Pop,Solo,2019.0,2019.0,102.0,Maggie Rogers
Brostep,Solo,2019.0,2019.0,100.0,Marshmello
